"FUENTE"|"FECHA"|"PI_NCF"|"PI_NOMBRE"|"PI_RNC"|"PI_TOTAL"|"PI_EXONERACION"|"PI_PCT_LEY"|"PI_IVA"|"MONTO"
"PATEPALO"|20180303|"-"|"-"|"-"|4819.20|" -   "|376.50|677.70|3765.00
"PATEPALO"|20180303|"-"|"-"|"-"|999.98|" -   "|78.12|140.62|781.24
"PATEPALO"|20180303|"-"|"-"|"-"|3526.40|" -   "|275.50|495.90|2755.00
"PATEPALO"|20180303|"-"|"-"|"-"|1708.80|" -   "|133.50|240.30|1335.00
"PATEPALO"|20180303|"-"|"-"|"-"|3052.80|" -   "|238.50|429.30|2385.00
"PATEPALO"|20180303|"-"|"-"|"-"|8172.80|" -   "|638.50|1149.30|6385.00
"PATEPALO"|20180303|"-"|"-"|"-"|4569.60|" -   "|357.00|642.60|3570.00
"PATEPALO"|20180303|"-"|"-"|"-"|5504.58|" -   "|430.05|774.08|4300.45
"PATEPALO"|20180303|"-"|"-"|"-"|19259.18|" -   "|1504.62|2708.32|15046.24
"PATEPALO"|20180303|"-"|"-"|"-"|16121.73|" -   "|1259.51|2267.12|12595.10
